title,experience,salary,location,job_type,url,company,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,Sales Advisor - Call Centre. Certain Advantage is hiring for Temp to Perm Sales Advisor's based in Ormskirk. If you are a confident Sales Advisor who likes a team environment and is driven by a target-based environment - this is the role for you! Great rate of pay and a fantastic central location. …more,2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/job/223341032/Sales-Advisor-Call-Centre/apply,UK,cv_library,2025-04-13T14:40:08.897552
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"Senior Sales Engineer - Stevenage. This is an opportunity for an experience for a Senior Sales Engineer to join a leading manufacturer of test and measurement solutions for acoustics, audio, and vibration applications. If you have excellent Acoustic or Engineering knowledge with sales experience …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341033/Senior-Sales-Engineer/apply,UK,cv_library,2025-04-13T14:40:03.296704
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"Senior Sales Engineer - Stevenage. This is an opportunity for an experience for a Senior Sales Engineer to join a leading manufacturer of test and measurement solutions for acoustics, audio, and vibration applications. If you have excellent Acoustic or Engineering knowledge with sales experience …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341033/Senior-Sales-Engineer/apply,UK,cv_library,2025-04-13T14:40:06.563332
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Senior Sales Engineer - Stevenage. This is an opportunity for an experience for a Senior Sales Engineer to join a leading manufacturer of test and measurement solutions for acoustics, audio, and vibration applications. If you have excellent Acoustic or Engineering knowledge with sales experience …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341033/Senior-Sales-Engineer/apply,UK,cv_library,2025-04-13T14:40:08.358235
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Senior Sales Engineer - Stevenage. This is an opportunity for an experience for a Senior Sales Engineer to join a leading manufacturer of test and measurement solutions for acoustics, audio, and vibration applications. If you have excellent Acoustic or Engineering knowledge with sales experience …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/job/223341033/Senior-Sales-Engineer/apply,UK,cv_library,2025-04-13T14:40:09.524311
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"Are you ready to elevate your career as an Electrical Test Engineer with a leading UK automation solutions provider? This opportunity offers a chance to work on innovative projects, contributing to the development of cutting-edge automation technologies. With a focus on personal development and …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341029/Electrical-Test-Engineer/apply,UK,cv_library,2025-04-13T14:40:05.308796
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Are you ready to elevate your career as an Electrical Test Engineer with a leading UK automation solutions provider? This opportunity offers a chance to work on innovative projects, contributing to the development of cutting-edge automation technologies. With a focus on personal development and …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341029/Electrical-Test-Engineer/apply,UK,cv_library,2025-04-13T14:40:07.711321
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Are you ready to elevate your career as an Electrical Test Engineer with a leading UK automation solutions provider? This opportunity offers a chance to work on innovative projects, contributing to the development of cutting-edge automation technologies. With a focus on personal development and …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/job/223341029/Electrical-Test-Engineer/apply,UK,cv_library,2025-04-13T14:40:09.791996
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:06.763969
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:09.627116
